./src/common/stdpbase.cpp(59): assert ""traits"" failed in Get(): create wxApp before calling this
ROUTED CTRL1 (54.0, 63.08) (62.0875, 64.0) 73
ROUTED CTRL2 (54.0, 65.62) (77.0875, 64.0) 199
ROUTED COL1 (67.9375, 68.0) (66.0625, 55.0) 123
ROUTED ANODE1 (67.9375, 55.0) (67.9125, 59.0) 34
ROUTED COL2 (82.9375, 68.0) (81.0625, 55.0) 137
ROUTED ANODE2 (82.9375, 55.0) (82.9125, 59.0) 34
ROUTED BASE1 (66.0625, 67.05) (63.9125, 64.0) 44
ROUTED BASE1 (66.0625, 67.05) (66.0875, 73.0) 70
ROUTED BASE2 (81.0625, 67.05) (78.9125, 64.0) 42
ROUTED BASE2 (81.0625, 67.05) (81.0875, 73.0) 70
ROUTED +5V (54.0, 58.0) (57.05, 61.75) 55
ROUTED +5V (57.05, 61.75) (66.0875, 59.0) 96
ROUTED +5V (66.0875, 59.0) (81.0875, 59.0) 143
ROUTED GND (54.0, 60.54) (58.95, 61.75) 65
ROUTED GND (58.95, 61.75) (66.0625, 68.95) 119
ROUTED GND (66.0625, 68.95) (67.9125, 73.0) 48
ROUTED GND (66.0625, 68.95) (81.0625, 68.95) 125
ROUTED GND (81.0625, 68.95) (82.9125, 73.0) 48
